459	Zaragoza	Spain	635509	41.6453	-0.884861
460	Wroclaw	Poland	634893	51.1	17.0333
461	Zhenjiang	China	632552	32.2092	119.434
462	Winnipeg	Canada	632069	49.8833	-97.1667
463	Dandong	China	631973	40.1292	124.395
464	Izhevsk	Russian Federation	631044	56.8498	53.2045
465	Shaoguan	China	628749	24.8	113.583
466	Yancheng	China	628441	33.3856	120.125
467	Foshan	China	627348	23.0268	113.131
468	Contagem	Brazil	627132	-19.9167	-44.1
469	Bhilai	India	625203	21.2167	81.4333
470	Jibuti	Djibouti	623891	11.595	43.1481
471	Saltillo	Mexico	621270	25.4167	-101
472	Fort Worth	United States	618119	32.7253	-97.3206
473	Jamshedpur	India	616404	22.8	86.1833
474	Haikou	China	615835	20.0458	110.342
475	São José dos Campos	Brazil	613776	-23.1833	-45.8833
476	Mersin	Turkey	612540	36.7328	34.6442
477	Taizhou	China	612356	32.4933	119.911
478	Querétaro	Mexico	611803	20.6	-100.383
479	Xingtai	China	611739	37.0631	114.494
480	Baltimore	United States	610892	39.2903	-76.6125
481	Glasgow	United Kingdom	610271	55.8333	-4.25
482	Yaroslavl	Russian Federation	606735	57.6198	39.8554
483	Benoni	South Africa	605363	-26.1909	28.3113
484	Hamamatsu	Japan	605105	34.7	137.733
485	Kochi	India	604751	9.96667	76.2333
486	Jinzhou	China	604269	41.1078	121.142
487	Amravati	India	603885	20.9333	77.75
488	Rotterdam	Netherlands	603851	51.9167	4.5
489	Abu Dhabi	United Arab Emirates	603687	24.4667	54.3667
490	Hai Phong	Viet Nam	602718	20.8561	106.682
491	Orumiyeh	Iran	602443	37.5553	45.0724
492	Kirkuk	Iraq	601442	35.4681	44.3922
493	Barnaul	Russian Federation	599586	53.3606	83.7636
494	Charlotte	United States	598351	35.2269	-80.8433
495	El Paso	United States	597181	31.7586	-106.486
496	Luancheng	China	597130	37.8792	114.652
497	Mexicali	Mexico	597124	32.6519	-115.468
498	Hermosillo	Mexico	595833	29.0667	-110.967
499	Rasht	Iran	594619	37.2808	49.5832
500	Dortmund	Germany	594255	51.5167	7.45
501	Kayseri	Turkey	593164	38.7322	35.4853
502	Abeokuta	Nigeria	593140	7.15	3.35
503	Morelia	Mexico	592820	19.7	-101.117
504	Stuttgart	Germany	591688	48.7667	9.18333
505	Yingkou	China	591159	40.6373	122.503
506	Chimalhuacán	Mexico	590165	19.4167	-98.9
507	Zhangzhou	China	589831	24.5133	117.656
508	Vladivostok	Russian Federation	587029	43.1281	131.901
509	Irkutsk	Russian Federation	586702	52.2978	104.296
510	Belfast	United Kingdom	585994	54.5833	-5.93333
511	Genoa	Italy	585815	44.4167	8.95
512	Blantyre	Malawi	584870	-15.7833	35
513	Kingston	Jamaica	583999	18	-76.8
514	Chiclayo	Peru	582597	-6.77361	-79.8417
515	Culiacán	Mexico	582489	24.7994	-107.39
516	Hachioji	Japan	579402	35.6558	139.324
517	Milwaukee	United States	579180	43.0389	-87.9064
518	Xiamen	China	578337	24.4798	118.082
519	Khabarovsk	Russian Federation	578307	48.4808	135.093
520	Libreville	Gabon	578156	0.383333	9.45
521	Kerman	Iran	577547	30.2832	57.0788
522	Düsseldorf	Germany	577139	51.2167	6.76667
523	Kaifeng	China	576915	34.7442	114.419
524	Essen	Germany	576914	51.45	7.01667
525	Bengbu	China	576648	32.9408	117.361
526	Bikaner	India	576056	28.0167	73.3
527	Banjarmasin	Indonesia	572910	-3.33333	114.583
528	Shihezi	China	572772	44.3	86.0333
529	Bouaké	Côte d’Ivoire	572149	7.69385	-5.03031
530	Bucaramanga	Colombia	571827	7.12539	-73.1198
531	Boston	United States	571281	42.3583	-71.0603
532	Kuching	Malaysia	570579	1.55	110.333
533	Poznan	Poland	570352	52.4167	16.9667
534	Seattle	United States	569369	47.6064	-122.331
535	Veracruz	Mexico	568336	19.2	-96.1333
536	Asmara	Eritrea	563948	15.3333	38.9333
537	Sokoto	Nigeria	563899	13.048	5.21429
538	Uberlândia	Brazil	563545	-18.9167	-48.3
539	Onitsha	Nigeria	561106	6.14543	6.78845
540	Funabashi	Japan	560754	35.6931	139.983
541	Sorocaba	Brazil	558874	-23.4833	-47.45
542	Helsinki	Finland	558457	60.1756	24.9342
543	Málaga	Spain	557875	36.7267	-4.4348
544	Warangal	India	557864	18	79.5833
